before,after
"这些所谓社会精英普遍智商欠费，可见对男人来说成功门槛有多低
",社会 精英 智商 欠费 ， 男人 成功 门槛 低 
"对，这种女人必须依靠男人的思想本来就是男权产物。拿所谓女拳语录和“男人压力大女人要房要车要彩礼”来反女权的人眼界太小了。女权要的是身为人和男人一样平等的出生权、受教育权、同工同酬、财产继承、共同育儿等等权利，不是让女人什么都没有被迫当上门媳妇拘泥于婚姻里和男人、婆婆斗智斗勇
",， 女人 男人 思想 本来 男权 产物 。 女拳 语录 “ 男人 压力 女人 房要 车要 彩礼 ” 反 女权 眼界 太小 。 女权 身为 男人 平等 出生 权 、 受 教育权 、 同工同酬 、 财产继承 、 育儿 权利 ， 女人 被迫 上门 媳妇 拘泥于 婚姻 里 男人 、 婆婆 斗智斗勇 
"想想现在男的都啥样也就不奇怪了，周围女孩大多对自己要求很高，男的邋邋遢遢还幼稚得很
",想想 男 样 奇怪 ， 女孩 高 ， 男 邋 邋遢 遢 幼稚 
"男人四十多岁都是个孩子，女的就不一样了，几岁的小女孩都不排除想红的可能性呢
",男人 四十多岁 孩子 ， 女 ， 几岁 小女孩 排除 想红 可能性 
"""我让你给我说事实的起因经过，你说这些有的没的？你尊重女性先把简介删了",""" 事实 起因 ， ？ 尊重 女性 先 简介 删 "
"我觉得挺好啊，南拳不是说真女权都是白富美吗？这个图里的“真女权”不就是他们理想中的形象吗？更有说服力了
",挺 ， 南拳 真 女权 白富 美 ？ 图里 “ 真 女权 ” 理想 中 形象 ？ 说服力 
"""狗粉丝真的特别恶心",""" 狗 粉丝 特别 恶心 "
"那些所谓的女权主义者讨厌“剩女”被视作“失败”，因为她们大多是剩女吧，但是，她们把“家庭主妇”视作“失败”，也太绝对了，她们是被压迫着转而去用一种标准压迫女性，这是假女权。选择成为什么样的人，选择让自己幸福快乐的生活方式，不管是你想当职场女性，还是家庭主妇，遵从自己内心，就好。
",女权主义者 讨厌 “ 剩女 ” 视作 “ 失败 ” ， 剩女 ， ， “ 家庭主妇 ” 视作 “ 失败 ” ， 太 ， 被压迫 转而 标准 压迫 女性 ， 假 女权 。 选择 ， 选择 幸福快乐 生活 方式 ， 想 职场 女性 ， 家庭主妇 ， 遵从 内心 ， 。 
"另一方面来说，她觉得自己说的话能被男性听到了，让男性看到她自己的“价值”了，得到“尊重”了，但她说的都是他们想听到的而已……可悲//
",， 男性 听到 ， 男性 “ 价值 ” ， “ 尊重 ” ， 想 听到 … … 可悲 / / 
"别说在网上了，我现实里都天天指着我妈脑门子骂她是驴
",网上 ， 现实 里 天天 指着 我妈 脑门子 骂 驴 
"注意，这跟要不要骂没有不尊重女性的男人不是同一件事，骂所有男人没问题因为所有男人生下来就吃红利，难道婚女比未婚女吃红利吗？很显然婚女跟未婚女一样都是受害者，甚至婚女正因为婚姻受到更大的伤害，那我们就更没有理由因为某些跳脚的婚女而去骂所有的婚女了不是吗？？？
",， 骂 尊重 女性 男人 一件 事 ， 骂 男人 男人 生 吃 红利 ， 婚女 未婚 女 吃 红利 ？ 婚女 未婚 女 受害者 ， 婚女 正 婚姻 更大 伤害 ， 理由 跳脚 婚女 骂 婚女 ？ ？ ？ 
"""女性要平等甚至比阶级平等更难",""" 女性 平等 阶级 平等 更难 "
"我觉得很多人都忘记了妇女能顶半边天的口号了，那时候宣传的海报和纸画上很多都是女性劳动者的形象，她们可以开拖拉机可以下田可以做任何以前默认只能男人做的工作，现在居然有些人觉得女性不如男人有些工作不能做
",忘记 妇女 能顶 半边天 口号 ， 宣传 海报 纸画 女性 劳动者 形象 ， 开 拖拉机 下田 做 默认 男人 做 工作 ， 女性 男人 工作 做 
"极端女权太恶劣了，竟然多生出了5000多万的男人，搞的性别失衡。
",女权 太 恶劣 ， 生出 5000 多万 男人 ， 搞 性别 失衡 。 
"以前还关注过，这是有水平的伪女权，大道理一套一套的，内核已经歪了十万八千里，超有迷惑性。
",关注 ， 水平 伪 女权 ， 大道理 一套 一套 ， 内核 歪 十万八千里 ， 超有 迷惑性 。 
"就是引战呗，无语，还玩下棋，有这一种人真的很侮辱国家，弄什么女权这玩意，我都不知道什么鬼，无语了
",引战 ， 语 ， 玩 下棋 ， 侮辱 国家 ， 弄 女权 玩意 ， 鬼 ， 无语 
"""你到现在为止，一个都没有解释清楚，还让我给你打原文",""" ， 解释 ， 原文 "
"千万别在微博沾这些词儿，看看就好。不然一帮子看问题理解问题极端的人对号入座，说话阴阳怪气，光是对线就可以气炸了
",千万别 微博 沾 词儿 ， 。 帮子 理解 对号入座 ， 说话 阴阳怪气 ， 对线 气炸 
"有一说一你这种有脑子的见得不多，评论区跟你风的⭕ 师们可是拖姐姐的后腿啦，姐姐就应该出国，不要理这些中国的♂人是不是啦？~
",脑子 见得 ， 评论 区 风 ⭕   师们 拖 姐姐 后腿 ， 姐姐 出国 ， 理 中国 ♂ ？ ~ 
"姐姐说话好厉害，那我可以舔舔♀犬师的小批吗
",姐姐 说话 厉害 ， 舔 舔 ♀ 犬师 小批 
"有空在我这里狺狺狂吠，不如去玉林屠宰场喊刀下留狗，拯救你即将被宰的爸
",有空 狺狺狂吠 ， 玉林 屠宰场 喊刀 留狗 ， 拯救 宰 爸 
"主要是那百分之九十九中的男性不愿意从占便宜的地位变成不占便宜的地位；百分之九十九里面的女性看到了自己作为人妻的利益，没看到自己作为女性的利益。毕竟他们的家庭里面“媳妇是娶进来的人”，“女儿是要嫁出去的人”
",百分之九十九 中 男性 占便宜 地位 占便宜 地位 ； 百分之九十九 女性 人妻 利益 ， 女性 利益 。 家庭 “ 媳妇 娶 ” ， “ 女儿 嫁出去 ” 
"""实话中国男性都是利己主义，觉得老外娶中国媳妇没给彩礼，自己也不想花，老外没给彩礼孩子也跟自己姓，所以自己也要同等权利。明白了么？",""" 实话 中国 男性 利己主义 ， 老外 娶 中国 媳妇 彩礼 ， 不想 花 ， 老外 彩礼 孩子 姓 ， 同等 权利 。 ？ "
"""打这么多字真是辛苦你了呢～可惜你只是一个自以为是满脑废料的卑微蝈蝻",""" 多字 辛苦 ～ 可惜 自以为是 满脑 废料 卑微 蝈蝻 "
"""算了，懒得和你这种整天没正事儿干只知道敲键盘的金针菇说话了，再见",""" 算了 ， 懒得 整天 正事儿 干 敲 键盘 金针菇 说话 ， 再见 "
"经典骂不过就急了金针菇，你们批癌不记得亲🐴尸体在什么位置就去多想想，扣字乞求你资本爸爸我可以理解，毕竟有p癌不能卖p了
",经典 骂 急 金针菇 ， 批癌 记得 亲 🐴 尸体 位置 想想 ， 扣字 乞求 资本 爸爸 理解 ， p 癌 卖 p 
"回复@·斜照弄晴·:那个女挙还在道德绑架和删评，无语子🙃
",回复 @ · 斜照 弄 晴 · : 女 挙 道德 绑架 删评 ， 无语子 🙃 
"蝈蝻都是矮矬穷 恶臭屌癌 没有女人喜欢天天在网上找存在感
",蝈蝻 矮 矬 穷   恶臭 屌 癌   女人 喜欢 天天 网上 找 感 
"草泥马死母🐶，还求上而居中，你这种母狗当rbq都嫌臭。怕是天天躲在屏幕后面扭动着你那150公斤的身体用沾着鼻屎的手指在九宫格键盘上打出这些母狗语录吧
",草泥马 死母 🐶 ， 还求 居中 ， 母狗 rbq 嫌 。 天天 躲 屏幕 扭动 150 公斤 身体 沾 鼻屎 手指 九宫格 键盘 打出 母狗 语录 
"他最开始确实是因为奚梦瑶那事被骂过头了（但他原话也有问题，仅仅是不该被骂这么厉害），但能坚持这么长时间，骂得这么流畅且让人记忆犹新，而且在他骂他所谓的“极端女权”时，用的词汇也根本没避开女性整体，说他不仇女我是完全不信的。
",是因为 奚梦瑶 那事 骂 过头 （ 原话 ， 不该 骂 厉害 ） ， 长时间 ， 骂 流畅 记忆犹新 ， 骂 “ 女权 ” 时 ， 词汇 避开 女性 整体 ， 不仇 女 不信 。 
"每个人都认为身边男性优秀，那那么多鼠辈哪里来的呢
",身边 男性 优秀 ， 鼠辈 
"""重点是，图片里女孩子没收款，并且两次强调“这是你的钳”图二女生亲自出来解释她也给男朋友经常买东西。评论里投稿热门的发出来图个乐，也从未叫男朋友拿钱的意思。却被你们理解成白嫖？？笑死我了重点都抓不住，人家情侣爱怎么着我们管得着吗？百十来块去说别人白嫖？？",""" 重点 ， 图片 里 女孩子 收款 ， 两次 “ 钳 ” 图二 女生 解释 男朋友 买 。 评论 里 投稿 热门 发出 图个 乐 ， 男朋友 钱 。 理解 成白 嫖 ？ ？ 笑 死 重点 抓不住 ， 情侣 爱 怎么着 管得 ？ 百十 来块 白 嫖 ？ ？ "
"""您也说了发出来图个乐，yxh发出来，面对的人群是很广的，大家当然有不同的想法。你们觉得甜Ok没问题，楼主和咱们觉得这种行为掉价，也没问题，那能请您代表你们某些人来解释一下为什么冲上来就骂楼主吗？【别拿骂女生的那些男人来挡枪，有眼睛都看得出是你们先冲楼主哈】",""" 发出 图个 乐 ， yxh 发出 ， 人群 广 ， 想法 。 甜 Ok ， 楼主 掉价 ， ， 那能 请 代表 人来 解释一下 冲上来 骂 楼主 ？ 【 骂 女生 男人 挡 枪 ， 眼睛 看得出 先冲 楼主 】 "
"玩个梗就是伸手要了，关键人家女孩子钱都没收就是白嫖了
",玩个 梗 伸手 ， 关键 女孩子 钱 没收 白 嫖 
"男女平等在他们眼里的意思就是女的付出但是不求回报，男的坐享其成然后觉得一切安好
",男女平等 眼里 女 付出 求 回报 ， 男 坐享其成 安好 
"""0220年了钟国大多数人还不能自由决定加班与否，不会真的有脑瘫觉得被潜规则的女明星全是自愿的吧？怎么了还羡慕死了觉得这是捷径，对有些女人来说如果不愿意走这种所谓捷径，因为不愿意变成性资源得罪了人，根本就没有第二条路，没有出头之日，男人有的选项他们不一定有，花两毛钱动脑子想一想很难吗？",""" 0220 年 钟国 自由 加班 ， 脑瘫 潜规则 女明星 全是 自愿 ？ 羡慕 死 捷径 ， 女人 走 捷径 ， 性 资源 得罪 ， 第二条 路 ， 出头之日 ， 男人 选项 ， 花 两 毛钱 动脑子 想一想 很难 ？ "
"仇女这事儿我不太确定，但我觉得他肯定没有体会也没有试图理解过女性的性别体验，没有共同的体验肯定也没法共情，所以才会说无脑又没礼貌的话
",仇女 事儿 太 ， 体会 试图 理解 女性 性别 体验 ， 体验 没法 共情 ， 无脑 礼貌 
"""我觉得你说的都有道理，但我之前看有博主反思那些为柯洁辩解的人的话语－－就是所谓“只是个孩子”云云，她说这是很强烈的“妈感”，就像妈妈看犯错的孩子一样去宽容、去理解孩子的错误。这种想法在争论中并没有任何说服力，因为这类话语只代表说话人对柯洁本人的宽容态度而已，没有任何逻辑上的力量。",""" 道理 ， 看有 博主 反思 柯洁 辩解 话语 － － “ 孩子 ” ， “ 妈感 ” ， 妈妈 犯错 孩子 宽容 、 理解 孩子 错误 。 想法 争论 中 说服力 ， 类 话语 代表 说话 柯洁 宽容 态度 ， 逻辑 力量 。 "
"哈哈哈哈哈哈哈哈哈你会被骂恶臭屌丝的
",哈哈哈 哈哈哈 哈哈哈 骂 恶臭 屌丝 
"下晚课回宿舍，独自出差去外地，参加饭局～都已经被提醒了太多次要小心，要谨慎…高中老师身为女性还认为女生成绩“应该”不如男生…开会总是我被点名给不愿意看屏幕的领导读报告…我就这样长大了～这些算是什么呢，生活中的小搓磨小困扰吗～这份独属于女性的“提醒”“特长”“不足”，可以退货吗
",晚课 回 宿舍 ， 出差 外地 ， 参加 饭局 ～ 提醒 太 小心 ， 谨慎 … 高中 老师 身为 女性 女生 成绩 “ ” 男生 … 开会 点名 屏幕 领导 读 报告 … 长大 ～ 算是 ， 生活 中 搓 磨 困扰 ～ 这份 女性 “ 提醒 ” “ 特长 ” “ ” ， 退货 
"你对她有误解，她从来就跟清醒理智不沾边，欢场呆久了单纯的自私自利罢了，就这么一个没有人性不讲道德的低俗女利正好迎合大部分女人所谓的新女👊🏻 主流罢了。现实中你跟这种人当朋友她能把你介绍到ktv给卖了套现
",误解 ， 清醒 理智 沾边 ， 欢场 呆久 自私自利 ， 人性 讲道德 低俗 女利 正好 迎合 女人 新 女 👊 🏻   主流 。 现实 中 人当 朋友 介绍 ktv 卖 套现 
"""鲍狗是带着目的性的去诱骗女孩   选择好下手的女孩  真的好痛心   赤裸裸的摧毁一个女孩的所有   我想要司法的公正  还女孩一个公道",""" 鲍狗 目的性 诱骗 女孩       选择 下手 女孩     痛心       赤裸裸 摧毁 女孩       想要 司法 公正     女孩 公道 "
